PublicationID,Name,Abbreviation,AbbreviationISO,ISSN,ISBN,DOI
11050,ACM COMPUTING SURVEYS,ACM COMPUT SURV,ACM Comput. Surv.,0360-0300,,
11051,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,ACM J. Comput. Cult. Herit.,1556-4673,,10.1145/1841317.1841321
11052,2012 18th IEEE International Conference on Networks (ICON),IEEE INT CONF NETWOR,,1556-6463,978-1-4673-4523-1,
11053,2012 IEEE CUSTOM INTEGRATED CIRCUITS CONFERENCE (CICC),IEEE CUST INTEGR CIR,,,978-1-4673-1556-2,
11054,PROCEEDINGS OF 2013 IEEE 59TH HOLM CONFERENCE ON ELECTRICAL CONTACTS (HOLM),ELECTR CONTACT,,1062-6808,978-1-4673-5281-9,
11055,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,ACM J. Emerg. Technol. Comput. Syst.,1550-4832,,10.1145/1126257.1126259
11056,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,ACM SIGCOMM Comp. Commun. Rev.,0146-4833,,
11057,ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,ACM Trans. Algorithms,1549-6325,,10.1145/1198513.1198522
11058,ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,ACM Trans. Appl. Percept.,1544-3558,,10.1145/1265957.1265960
11059,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,ACM Trans. Archit. Code Optim.,1544-3566,,10.1145/1328195.1328196
11060,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,ACM Trans. Asian Low-Resour. Lang. Inf. Process.,2375-4699,,10.1145/2700051
11061,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM T AUTON ADAP SYS,ACM Trans. Auton. Adapt. Syst.,1556-4665,,
11062,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,ACM Trans. Comput. Log.,1529-3785,,
11063,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,ACM Trans. Comput.-Hum. Interact.,1073-0516,,10.1145/1275511.1275513
11064,ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,ACM Trans. Comput. Syst.,0734-2071,,
11065,ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,ACM Trans. Comput. Educ.,1946-6226,,10.1145/2490822
11066,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,ACM Trans. Database Syst.,0362-5915,,
11067,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,ACM Transact. Des. Automat. Electron. Syst.,1084-4309,,
11068,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,ACM Trans. Embed. Comput. Syst.,1539-9087,,10.1145/1274858.1274870
11069,ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,ACM Trans. Graph.,0730-0301,,
11070,ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,ACM Trans. Inf. Syst.,1046-8188,,
11071,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,ACM Trans. Intell. Syst. Technol.,2157-6904,,10.1145/1858948.1858955
11072,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,ACM Trans. Internet. Technol.,1533-5399,,10.1145/1278366.1278372
11073,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,ACM Trans. Knowl. Discov. Data,1556-4681,,10.1145/1497577.1497578
11074,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ACM Trans. Math. Softw.,0098-3500,,
11075,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,ACM Trans. Model. Comput. Simul.,1049-3301,,
11076,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,ACM Trans. Multimed. Comput. Commun. Appl.,1551-6857,,
11077,ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM T PRIV SECUR,ACM Trans. Priv. Secur.,2471-2566,,10.1145/2960409
11078,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,ACM Trans. Program. Lang. Syst.,0164-0925,,
11079,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,ACM T. Reconfigurable Technol. Syst.,1936-7406,,10.1145/1502781.1502786
11080,ACM TRANSACTIONS ON SENSOR NETWORKS,ACM T SENSOR NETWORK,ACM Trans. Sens. Netw.,1550-4859,,
11081,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,ACM Trans. Softw. Eng. Methodol.,1049-331X,,
11082,ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,ACM Trans. Storage,1553-3077,,10.1145/1807060.1807061
11083,ACM TRANSACTIONS ON THE WEB,ACM T WEB,ACM Trans. Web,1559-1131,,10.1145/1232722.1232727
11084,ACTA INFORMATICA,ACTA INFORM,Acta Inform.,0001-5903,,
11085,AD HOC NETWORKS,AD HOC NETW,Ad Hoc Netw.,1570-8705,,10.1016/j.adhoc.2006.05.012
11086,AD HOC & SENSOR WIRELESS NETWORKS,AD HOC SENS WIREL NE,Ad Hoc Sens. Wirl. Netw.,1551-9899,,
11087,"ADVANCES IN COMPUTERS, VOL 53",ADV COMPUT,,0065-2458,,
11088,"ADVANCES IN COMPUTERS, VOL 52",ADV COMPUT,Adv. Comput.,0065-2458,,
11089,"ADVANCES IN COMPUTERS, VOL 54",ADV COMPUT,Adv. Comput.,0065-2458,,
11090,"ADVANCES IN COMPUTERS, VOL 55",ADV COMPUT,Adv. Comput.,0065-2458,,
11091,"ADVANCES IN COMPUTERS, VOL 56",ADV COMPUT,Adv. Comput.,0065-2458,,
11092,"ADVANCES IN COMPUTERS, VOL 58",ADV COMPUT,,0065-2458,,
11093,"ADVANCES IN COMPUTERS, VOL 59",ADV COMPUT,,0065-2458,,
11094,"ADVANCES IN COMPUTERS, VOL 57",ADV COMPUT,,0065-2458,,
11095,"ADVANCES IN COMPUTERS, VOL 62",ADV COMPUT,,0065-2458,,
11096,"ADVANCES IN COMPUTERS, VOL. 60",ADV COMPUT,Adv. Comput.,0065-2458,,
11097,"ADVANCES IN COMPUTERS, VOL. 61",ADV COMPUT,,0065-2458,,10.1016/S0065-2458(03)003-X
11098,"ADVANCES IN COMPUTERS, VOL 63: PARALLEL, DISTRIBUTED, AND PERVASIVE COMPUTING",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(04)63003-8
11099,"ADVANCES IN COMPUTERS, VOL 65",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(05)65004-8
11100,"ADVANCES IN COMPUTERS, VOL 64",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(04)64007-1
11101,"ADVANCES IN COMPUTERS , VOL 68",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(06)68004-2
11102,"ADVANCES IN COMPUTERS, VOL 67",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(05)67004-0
11103,"ADVANCES IN COMPUTERS, VOL 71",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(06)71002-6
11104,"ADVANCES IN COMPUTERS, VOL 70",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(06)70001-8
11105,"ADVANCES IN COMPUTERS, VOL 72",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(08)00001-6
11106,"ADVANCES IN COMPUTERS, VOL 73",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(08)00405-1
11107,"ADVANCES IN COMPUTERS, VOL 74",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(08)00603-7
11108,"ADVANCES IN COMPUTERS, VOL 77",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(09)01206-6
11109,"ADVANCES IN COMPUTERS: SOCIAL NETWORKING AND THE WEB, VOL 76",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(09)01002-X
11110,"ADVANCES IN COMPUTERS, VOL 78",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(10)78003-7
11111,"ADVANCES IN COMPUTERS, VOL 80",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/S0065-2458(10)80001-4
11112,"ADVANCES IN COMPUTERS, VOL 82",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/B978-0-12-385512-1.00003-7
11113,"ADVANCES IN COMPUTERS, VOL 83",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/B978-0-12-385510-7.00002-3
11114,"ADVANCES IN COMPUTERS, VOL 86",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/B978-0-12-396535-6.00002-8
11115,"ADVANCES IN COMPUTERS, VOL 84: DEPENDABLE AND SECURE SYSTEMS ENGINEERING",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/B978-0-12-396525-7.00001-0
11116,"ADVANCES IN COMPUTERS, VOL 85",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/B978-0-12-396526-4.00004-7
11117,"ADVANCES IN COMPUTERS, VOL 89",ADV COMPUT,Adv. Comput.,0065-2458,,10.1016/B978-0-12-408094-2.00001-1
