PublicationID,Name,Abbreviation,AbbreviationISO,ISSN,ISBN,DOI
11207,DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,Data Knowl. Eng.,0169-023X,,
11208,DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,Data Min. Knowl. Discov.,1384-5810,,
11209,DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,Decis. Support Syst.,0167-9236,,
11210,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,Des. Autom. Embed. Syst.,0929-5585,,
11211,DESIGNS CODES AND CRYPTOGRAPHY,DESIGN CODE CRYPTOGR,Designs Codes Cryptogr.,0925-1022,,
11212,DIGITAL INVESTIGATION,DIGIT INVESTIG,Digit. Investig.,1742-2876,,10.1016/j.diin.2005.04.002
11213,Digital Investigation,DIGIT INVEST,Digit. Investig.,1742-2876,,10.1016/j.diin.2016.04.006
11214,DISPLAYS,DISPLAYS,Displays,0141-9382,,
11215,DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,Distrib. Parallel Databases,0926-8782,,
11216,DISTRIBUTED COMPUTING,DISTRIB COMPUT,Distrib. Comput.,0178-2770,,
11217,EMPIRICAL SOFTWARE ENGINEERING,EMPIR SOFTW ENG,Empir. Softw. Eng.,1382-3256,,
11218,ENGINEERING WITH COMPUTERS,ENG COMPUT-GERMANY,Eng. Comput.,0177-0667,,
11219,ENTERPRISE INFORMATION SYSTEMS,ENTERP INFORM SYST,Enterp. Inf. Syst.,1751-7575,,10.1080/17517570601092127
11220,ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,Environ. Modell. Softw.,1364-8152,,
11221,ETRI JOURNAL,ETRI J,ETRI J.,1225-6463,,10.4218/etrij.00.0100.0301
