AcademicRecordKeywordID,AcademicRecordId,AcademicKeywordId
338095,88938,128991
338096,88938,129244
338097,88938,129872
338098,88938,129873
338099,88938,129874
338100,88939,128865
338101,88939,128915
338102,88939,128991
338103,88939,129875
338104,88939,129876
338105,88939,129877
338106,88939,129878
338107,88939,129879
338108,88939,129856
338109,88940,128991
338110,88940,129880
338111,88940,129881
338112,88940,129882
338113,88941,128991
338114,88941,128915
338115,88941,128902
338116,88941,129883
338117,88941,129884
338118,88941,129885
338119,88941,129886
338120,88942,128865
338121,88942,128991
338122,88942,128915
338123,88942,129887
338124,88942,129888
338125,88942,129889
338126,88942,129890
338127,88943,128865
338128,88943,128902
338129,88943,129891
338130,88943,129892
338131,88943,129893
338132,88943,129894
338133,88943,129895
338134,88944,128991
338135,88944,129896
338136,88944,129897
338137,88944,129898
338138,88945,128915
338139,88945,128991
338140,88945,129899
338141,88945,129896
338142,88945,129900
338143,88945,129901
338144,88945,129902
338145,88945,129903
338146,88946,128865
338147,88946,128901
338148,88946,129856
338149,88946,129904
338150,88946,129905
338151,88946,129906
338152,88946,129907
338153,88947,128901
338154,88947,128915
338155,88947,128902
338156,88947,129908
338157,88947,129909
338158,88947,129910
338159,88947,129911
338160,88948,128915
338161,88948,128991
338162,88948,129912
338163,88948,129913
338164,88948,129914
338165,88948,129896
338166,88948,129898
