AcademicRecordKeywordID,AcademicRecordId,AcademicKeywordId
337322,88759,128901
337323,88759,128915
337324,88759,129352
337325,88759,129353
337326,88759,129354
337327,88760,129355
337328,88760,129356
337329,88761,129357
337330,88761,129358
337331,88761,129359
337332,88761,129360
337333,88761,129361
337334,88761,129362
337335,88761,129363
337336,88761,129364
337337,88761,129365
337338,88761,129366
337339,88762,128901
337340,88762,128915
337341,88762,128903
337342,88762,129367
337343,88762,129368
337344,88762,129369
337345,88762,129370
337346,88762,129371
337347,88763,129372
337348,88763,129373
337349,88763,129374
337350,88763,129375
337351,88764,129374
337352,88764,129376
337353,88764,129377
337354,88765,128919
337355,88765,129378
337356,88765,129379
337357,88765,129380
337358,88765,129381
337359,88766,129382
337360,88766,129383
337361,88766,129374
337362,88766,129375
337363,88766,129016
337364,88767,129384
337365,88767,129385
337366,88767,129386
337367,88768,129355
337368,88768,129384
337369,88769,129387
337370,88769,129371
337371,88769,128903
337372,88769,129388
337373,88769,129389
337374,88770,129390
337375,88770,129378
337376,88770,129391
337377,88770,129392
337378,88770,129393
337379,88771,129394
337380,88771,129395
337381,88771,129396
337382,88771,129381
337383,88771,129362
337384,88771,129397
337385,88771,129398
337386,88771,129374
337387,88772,129399
337388,88772,129400
337389,88772,129401
337390,88772,129199
337391,88772,129402
337392,88772,129403
337393,88773,129404
337394,88773,129405
337395,88773,129406
337396,88773,129407
337397,88774,128901
337398,88774,129384
337399,88774,129385
337400,88774,129408
337401,88776,128865
337402,88776,128901
337403,88776,129409
337404,88776,129410
337405,88776,129411
337406,88777,129412
337407,88777,129413
337408,88777,129374
337409,88777,129375
337410,88779,129414
337411,88779,129009
337412,88779,129415
337413,88779,129416
337414,88780,129417
337415,88780,129418
337416,88780,129415
337417,88780,129419
337418,88781,128901
337419,88781,129420
337420,88781,129421
337421,88781,129422
337422,88781,129423
337423,88781,129424
337424,88782,129425
337425,88782,129426
337426,88782,129427
337427,88782,129428
337428,88782,129429
337429,88783,129430
337430,88783,129431
337431,88783,129432
337432,88784,129433
337433,88784,129434
337434,88784,129435
337435,88784,129436
337436,88785,129437
337437,88785,129438
337438,88785,129439
337439,88785,129440
337440,88785,129441
337441,88785,129442
337442,88785,129443
337443,88785,129444
337444,88785,129445
337445,88785,129446
337446,88785,129447
337447,88786,129448
337448,88786,129449
337449,88786,129450
337450,88786,129451
337451,88786,129452
337452,88786,129453
337453,88787,129454
337454,88787,129455
337455,88787,129456
337456,88788,129457
337457,88788,129458
337458,88788,129459
337459,88788,129460
337460,88788,129461
337461,88788,128984
337462,88788,129462
337463,88788,128919
337464,88788,129463
337465,88789,129464
337466,88789,129465
337467,88789,129466
337468,88789,129467
337469,88789,129468
337470,88789,129430
337471,88789,129469
337472,88789,129470
337473,88789,129471
337474,88790,129472
337475,88790,129473
337476,88790,129474
337477,88790,129475
337478,88790,129476
337479,88791,129477
337480,88791,129478
337481,88791,129479
337482,88791,129480
337483,88791,129222
337484,88791,129481
337485,88791,129482
337486,88792,129483
337487,88792,129484
337488,88792,129399
337489,88793,129378
337490,88793,129485
337491,88793,129381
337492,88793,129486
337493,88793,129487
337494,88794,128901
337495,88794,128903
337496,88794,129488
337497,88794,129489
337498,88794,129464
337499,88794,129490
337500,88794,129491
337501,88794,129453
337502,88794,129450
337503,88795,129492
337504,88795,129493
337505,88795,129494
337506,88795,129495
337507,88795,129496
337508,88796,129497
337509,88796,129430
337510,88796,129498
337511,88796,129499
337512,88796,129500
337513,88796,129501
337514,88796,129502
337515,88797,128865
337516,88797,129503
337517,88797,129504
337518,88797,129505
337519,88797,129506
337520,88797,129507
337521,88798,129508
337522,88798,129509
337523,88798,129510
337524,88798,129511
337525,88798,129512
337526,88798,129513
337527,88799,129514
337528,88799,129370
337529,88799,129515
337530,88799,129516
337531,88799,128932
337532,88799,129517
337533,88799,129518
337534,88799,129519
337535,88800,129510
337536,88800,129069
337537,88800,129520
337538,88800,129011
337539,88800,128916
337540,88801,129521
337541,88801,128969
337542,88801,129522
337543,88801,129523
337544,88801,129524
337545,88801,129525
337546,88801,129464
337547,88801,128919
337548,88801,129526
337549,88802,129527
337550,88802,129528
337551,88802,129529
337552,88802,129530
337553,88803,129448
337554,88803,129531
337555,88803,129532
337556,88803,129533
337557,88804,129355
337558,88804,129534
337559,88804,129535
337560,88805,129536
337561,88805,129537
337562,88805,129538
337563,88806,129013
337564,88806,129539
337565,88806,129540
337566,88806,129541
337567,88807,129542
337568,88807,129543
337569,88807,129544
337570,88808,129545
337571,88808,129546
337572,88808,129547
337573,88808,129548
337574,88808,129549
337575,88809,129510
337576,88809,129550
337577,88809,129551
337578,88817,129552
337579,88817,128986
337580,88817,129553
337581,88817,129179
337582,88818,129554
337583,88818,129555
337584,88818,129556
337585,88818,129557
337586,88818,129195
337587,88821,129558
337588,88821,129559
337589,88821,129560
337590,88824,129561
337591,88824,129562
337592,88824,128903
337593,88824,129563
337594,88824,129564
337595,88824,129565
337596,88824,129566
337597,88824,129567
337598,88827,129568
337599,88827,129569
337600,88828,129069
337601,88828,129570
337602,88829,129571
337603,88829,129572
337604,88829,129573
337605,88830,129574
337606,88830,129575
337607,88830,129576
337608,88831,129069
337609,88831,129577
337610,88831,129578
337611,88832,129579
337612,88832,129580
337613,88832,129581
337614,88833,129582
337615,88833,129583
337616,88833,129584
337617,88834,128865
337618,88834,128901
337619,88834,128903
337620,88834,128885
337621,88834,129585
337622,88834,129586
337623,88835,129585
337624,88836,128902
337625,88836,128865
337626,88836,128944
337627,88836,129579
337628,88836,129179
337629,88836,128916
337630,88837,128865
337631,88837,128902
337632,88837,129579
337633,88837,128916
337634,88838,128901
337635,88838,129587
337636,88838,129588
337637,88838,129589
337638,88838,129590
337639,88838,129591
337640,88839,128865
337641,88839,128901
337642,88839,128903
337643,88839,128885
337644,88839,129585
337645,88839,129586
337646,88839,129592
337647,88840,128901
337648,88840,128944
337649,88841,128901
337650,88841,128903
337651,88841,129593
337652,88841,129594
337653,88841,129595
337654,88841,129568
337655,88841,129596
337656,88842,128915
337657,88842,128901
337658,88842,129597
337659,88842,129598
337660,88842,129599
337661,88843,128901
337662,88843,128903
337663,88843,128944
337664,88843,128919
337665,88843,129600
337666,88843,129601
337667,88844,128901
337668,88844,128915
337669,88844,128903
337670,88844,129602
337671,88844,128944
337672,88844,129603
337673,88844,128945
337674,88845,128865
337675,88845,128901
337676,88845,129604
337677,88845,129605
337678,88845,129606
337679,88845,129607
337680,88845,129608
337681,88846,129609
337682,88846,129196
337683,88846,129610
337684,88846,129611
337685,88847,128901
337686,88847,129612
337687,88847,129613
337688,88847,129614
337689,88847,129615
337690,88848,128901
337691,88848,128903
337692,88848,128919
337693,88848,129266
337694,88848,129616
337695,88849,128865
337696,88849,128901
337697,88849,129617
337698,88849,129618
337699,88849,129619
337700,88850,128901
337701,88850,128915
337702,88850,128902
337703,88850,128903
337704,88850,129620
337705,88850,129621
337706,88851,128902
337707,88851,128903
337708,88851,129266
337709,88851,129622
337710,88851,129623
337711,88852,128902
337712,88852,129624
337713,88852,129625
337714,88853,128901
337715,88853,128915
337716,88853,128903
337717,88853,129626
337718,88853,129627
337719,88853,129628
337720,88854,128901
337721,88854,128902
337722,88854,128903
337723,88854,129629
337724,88854,129630
337725,88855,128865
337726,88855,128901
337727,88855,128903
337728,88855,129607
337729,88855,129196
337730,88855,129604
337731,88855,129631
337732,88855,129632
337733,88855,129633
337734,88857,128865
337735,88857,128901
337736,88857,128903
337737,88857,129634
337738,88857,129635
337739,88857,129636
337740,88857,129637
337741,88858,128901
337742,88858,128944
337743,88858,128902
337744,88858,129638
337745,88858,129639
337746,88858,129640
337747,88859,129641
337748,88859,129642
337749,88859,129643
337750,88860,128901
337751,88860,128944
337752,88860,128903
337753,88860,129644
337754,88860,129645
337755,88861,128865
337756,88861,128901
337757,88861,128903
337758,88861,129629
337759,88861,129646
337760,88861,129647
337761,88862,128865
337762,88862,128901
337763,88862,128915
337764,88862,128903
337765,88862,129648
337766,88862,129649
337767,88862,129650
337768,88863,129651
337769,88863,129652
337770,88863,129653
337771,88863,129568
337772,88863,129654
337773,88864,128901
337774,88864,128944
337775,88864,128915
337776,88864,129638
337777,88864,129582
337778,88864,129653
337779,88865,129655
337780,88865,129653
337781,88867,129234
337782,88867,129656
337783,88867,129657
337784,88867,129658
337785,88867,128986
337786,88867,129196
337787,88867,129659
337788,88871,129163
337789,88871,129574
337790,88871,129660
337791,88871,129661
337792,88871,129165
337793,88872,129662
337794,88872,129663
337795,88872,129664
337796,88872,129665
337797,88873,129666
337798,88873,129667
337799,88873,129668
337800,88873,129669
337801,88874,129607
337802,88874,129670
337803,88874,129653
337804,88874,129671
337805,88874,129672
337806,88874,129673
337807,88877,129674
337808,88877,129675
337809,88877,129676
337810,88878,129677
337811,88878,129678
337812,88878,129679
337813,88878,128916
337814,88878,129670
337815,88878,129680
337816,88879,129681
337817,88879,129682
337818,88879,129683
337819,88879,129684
337820,88879,129685
337821,88880,129686
337822,88880,129687
337823,88881,129688
337824,88881,129689
337825,88881,129690
337826,88881,129354
337827,88881,129691
337828,88882,129692
337829,88882,129693
337830,88882,128865
337831,88882,128909
337832,88883,128971
337833,88883,129694
337834,88883,129025
337835,88883,129695
337836,88884,129695
337837,88884,129696
337838,88884,128971
337839,88885,129697
337840,88885,129698
337841,88885,129699
337842,88885,129700
337843,88885,129701
337844,88886,128865
337845,88886,128885
337846,88886,129702
337847,88886,129703
337848,88886,129672
337849,88886,129704
337850,88886,129705
337851,88886,129403
337852,88887,129706
337853,88887,128901
337854,88887,128885
337855,88887,129707
337856,88887,129708
337857,88888,128865
337858,88888,128885
337859,88888,129709
337860,88888,129710
337861,88888,129711
337862,88888,129712
337863,88888,129713
337864,88889,128865
337865,88889,128901
337866,88889,129714
337867,88889,129715
337868,88889,129716
337869,88890,129717
337870,88890,129718
337871,88890,129719
337872,88890,129720
337873,88890,129721
337874,88890,129722
337875,88891,129723
337876,88891,129724
