AcademicRecordKeywordPlusID,AcademicRecordId,AcademicKeywordPlusId
685062,88945,125233
685063,88945,125332
685064,88945,125810
685065,88946,125811
685066,88946,125794
685067,88946,125812
685068,88946,125813
685069,88946,125814
685070,88946,125815
685071,88946,125816
685072,88946,125270
685073,88946,125817
685074,88946,125818
685075,88947,125293
685076,88947,125332
685077,88947,125819
685078,88947,125820
685079,88947,125463
685080,88947,125799
685081,88948,125821
685082,88949,125822
685083,88949,125798
685084,88950,125823
685085,88950,125824
685086,88950,125825
685087,88950,125826
685088,88950,125821
685089,88950,125332
685090,88950,125827
685091,88950,125828
685092,88950,125829
685093,88950,125789
685094,88951,125083
685095,88951,125830
685096,88951,125795
685097,88951,125197
685098,88952,125831
685099,88952,125832
685100,88952,125496
685101,88952,125821
685102,88952,125833
685103,88953,125834
685104,88953,125159
685105,88953,125835
685106,88954,125836
685107,88954,125837
685108,88954,125838
685109,88954,125839
685110,88954,125840
685111,88954,125332
685112,88954,125841
685113,88954,125793
685114,88954,125161
685115,88954,125360
685116,88955,125842
685117,88955,125843
685118,88955,125156
685119,88955,125332
685120,88955,125844
685121,88956,125845
685122,88956,125846
685123,88956,125332
685124,88956,125095
685125,88957,125233
685126,88957,125847
685127,88957,125848
685128,88957,125849
685129,88957,125332
685130,88957,125821
685131,88957,125850
685132,88957,125382
685133,88957,125262
685134,88958,125851
685135,88958,125846
685136,88958,125407
685137,88958,125833
685138,88959,125852
685139,88959,125853
685140,88959,125332
685141,88959,125087
685142,88959,125854
685143,88959,125333
685144,88959,125799
685145,88961,125855
685146,88961,125856
685147,88961,125857
685148,88961,125301
685149,88961,125087
685150,88961,125858
685151,88961,125859
685152,88961,125197
685153,88961,125860
685154,88962,125861
685155,88962,125862
685156,88962,125863
685157,88962,125087
685158,88962,125174
685159,88963,125864
685160,88963,125159
685161,88963,125857
685162,88963,125655
685163,88963,125865
685164,88963,125866
685165,88964,125867
685166,88964,125868
685167,88965,125869
685168,88965,125870
685169,88965,125157
685170,88965,125871
685171,88966,125872
685172,88966,125873
685173,88966,125874
685174,88966,125875
685175,88966,125876
685176,88966,125877
685177,88966,125878
685178,88966,125879
685179,88966,125880
685180,88966,125881
685181,88967,125882
685182,88967,125883
685183,88967,125330
685184,88967,125884
685185,88967,125797
685186,88968,125885
685187,88968,125886
685188,88968,125887
685189,88968,125888
685190,88968,125889
685191,88968,125890
685192,88968,125891
685193,88968,125158
685194,88968,125765
685195,88968,125892
685196,88969,125893
685197,88969,125894
685198,88969,125895
685199,88969,125093
685200,88969,125382
685201,88969,125331
685202,88970,125896
685203,88970,125897
685204,88970,125898
685205,88970,125407
685206,88970,125796
685207,88970,125513
685208,88970,125899
685209,88970,125900
685210,88970,125158
685211,88971,125901
685212,88971,125902
685213,88971,125332
685214,88971,125890
685215,88971,125903
685216,88971,125803
685217,88971,125900
685218,88971,125881
685219,88972,125904
685220,88972,125905
685221,88972,125332
685222,88972,125906
685223,88972,125907
685224,88972,125112
685225,88972,125908
685226,88972,125159
685227,88972,125276
685228,88972,125909
685229,88973,125910
685230,88973,125159
685231,88973,125911
685232,88973,125912
685233,88973,125913
685234,88973,125914
685235,88973,125915
685236,88974,125916
685237,88974,125233
685238,88974,125806
685239,88974,125917
685240,88974,125918
685241,88974,125919
685242,88974,125821
685243,88974,125850
685244,88974,125382
685245,88974,125920
685246,88975,125921
685247,88975,125922
685248,88975,125161
685249,88975,125923
685250,88975,125924
685251,88975,125262
685252,88975,125112
685253,88976,125846
685254,88976,125827
685255,88976,125332
685256,88976,125492
685257,88976,125821
685258,88976,125925
685259,88977,125926
685260,88977,125916
685261,88977,125927
685262,88977,125821
685263,88977,125928
685264,88977,125827
685265,88977,125929
685266,88977,125174
685267,88977,125791
685268,88977,125930
685269,88978,125807
685270,88978,125809
685271,88978,125821
685272,88978,125931
685273,88978,125930
685274,88979,125932
685275,88979,125933
685276,88979,125934
685277,88979,125935
685278,88979,125112
685279,88979,125301
685280,88979,125492
685281,88979,125936
685282,88979,125937
685283,88979,125938
685284,88980,125917
685285,88980,125332
685286,88980,125821
685287,88980,125850
685288,88980,125382
685289,88980,125809
685290,88981,125939
685291,88981,125891
685292,88981,125797
685293,88982,125653
685294,88982,125342
685295,88982,125940
685296,88983,125342
685297,88984,125941
685298,88984,125474
685299,88986,125942
685300,88986,125943
685301,88986,125944
685302,88986,125945
685303,88986,125474
685304,88986,125946
685305,88987,125174
685306,88988,125947
685307,88993,125948
685308,88993,125342
685309,88995,125949
685310,88995,125950
685311,88996,125951
685312,88998,125952
685313,88998,125087
685314,88998,125953
685315,88998,125954
685316,88998,125955
685317,88998,125956
685318,88998,125342
685319,88998,125957
685320,88999,125958
685321,88999,125959
685322,89000,125427
685323,89000,125960
685324,89003,125961
685325,89003,125542
685326,89005,125962
685327,89005,125954
685328,89005,125087
685329,89005,125373
685330,89005,125198
685331,89006,125140
685332,89007,125963
685333,89007,125964
685334,89009,125368
685335,89010,125947
685336,89010,125965
685337,89010,125966
685338,89010,125160
685339,89012,125225
685340,89012,125593
685341,89013,125723
685342,89013,125174
685343,89015,125087
685344,89015,125723
685345,89015,125112
685346,89015,125967
685347,89017,125611
685348,89017,125968
685349,89017,125969
685350,89019,125970
685351,89020,125089
685352,89020,125090
685353,89020,125262
685354,89021,125971
685355,89022,125972
685356,89022,125322
685357,89022,125973
685358,89022,125201
685359,89023,125974
685360,89023,125368
685361,89023,125975
685362,89023,125976
685363,89024,125977
685364,89025,125543
685365,89025,125969
685366,89026,125978
685367,89026,125979
685368,89026,125174
685369,89026,125140
685370,89028,125611
685371,89028,125980
685372,89028,125981
685373,89028,125982
685374,89028,125160
685375,89028,125983
685376,89028,125313
685377,89028,125984
685378,89028,125985
685379,89028,125671
685380,89031,125197
685381,89031,125102
685382,89032,125986
685383,89034,125987
685384,89035,125414
685385,89035,125988
685386,89037,125090
685387,89037,125989
685388,89038,125990
685389,89039,125991
685390,89045,125992
685391,89045,125293
685392,89045,125993
685393,89045,125451
685394,89046,125994
685395,89046,125995
685396,89046,125996
685397,89046,125997
685398,89046,125998
685399,89046,125999
685400,89046,126000
685401,89046,126001
685402,89046,126002
685403,89046,126003
685404,89047,126004
685405,89047,125090
685406,89047,126005
685407,89049,126006
685408,89049,126007
685409,89049,126008
685410,89049,126009
685411,89049,125285
685412,89049,126010
685413,89053,126011
685414,89053,125325
685415,89053,126012
685416,89053,126013
685417,89055,126014
685418,89055,125307
685419,89055,126015
685420,89056,126016
685421,89057,125277
685422,89057,125593
685423,89058,125174
685424,89058,126017
685425,89058,125985
685426,89058,125625
685427,89058,125276
685428,89058,125313
685429,89058,125796
685430,89058,125484
685431,89058,126018
685432,89058,125140
685433,89059,126019
685434,89059,126020
685435,89059,125160
685436,89059,125534
685437,89061,126021
685438,89061,125436
685439,89061,125090
685440,89063,126022
685441,89064,126023
685442,89064,126024
685443,89064,126025
685444,89064,126026
685445,89064,126027
685446,89064,125095
685447,89064,125307
685448,89065,125389
685449,89065,126028
685450,89066,126029
685451,89066,126030
685452,89067,126031
685453,89067,125325
685454,89067,125518
685455,89067,125202
685456,89067,126032
685457,89067,125406
685458,89067,126033
685459,89069,126034
685460,89070,126035
685461,89070,126017
685462,89072,126014
685463,89072,125197
685464,89073,126036
685465,89073,126037
685466,89073,126020
685467,89073,125089
685468,89073,125341
685469,89073,125277
685470,89073,125174
685471,89074,125313
685472,89074,125201
685473,89074,125130
685474,89075,126038
685475,89076,126020
685476,89077,126039
685477,89077,126040
685478,89077,126041
685479,89077,125130
685480,89077,125161
685481,89077,125427
685482,89077,125543
685483,89080,126000
685484,89080,126014
685485,89080,126042
685486,89080,125175
685487,89080,125093
685488,89080,125439
685489,89080,125277
685490,89080,125484
685491,89080,125160
685492,89080,126043
685493,89081,126044
685494,89081,126045
685495,89081,126046
685496,89081,125174
685497,89081,126047
685498,89082,125160
685499,89083,125174
685500,89084,126048
685501,89084,126014
685502,89085,125277
685503,89085,125174
685504,89085,126017
685505,89085,125406
685506,89086,126049
685507,89086,125135
685508,89086,125173
685509,89086,125846
685510,89086,126050
685511,89086,126051
685512,89087,125277
685513,89088,126052
685514,89089,126053
685515,89089,125110
685516,89089,125355
685517,89090,126054
685518,89091,126055
685519,89091,125276
685520,89091,125368
685521,89091,125197
685522,89093,126056
685523,89093,126057
685524,89093,125140
685525,89093,125087
685526,89093,125276
685527,89093,126058
685528,89093,125141
685529,89093,126059
685530,89093,126060
685531,89093,126024
685532,89094,126061
685533,89094,126062
685534,89096,126063
685535,89096,126064
685536,89096,126065
685537,89096,126066
685538,89096,125307
685539,89096,126067
685540,89096,125277
685541,89096,125940
685542,89097,125089
685543,89098,126068
685544,89098,125115
685545,89098,126069
685546,89098,126070
685547,89098,126071
685548,89098,126072
685549,89098,126073
685550,89098,125340
685551,89098,125538
685552,89098,126074
685553,89100,125120
685554,89100,126075
685555,89100,126070
685556,89100,126074
685557,89101,126076
685558,89101,126077
685559,89101,125140
685560,89101,125340
685561,89101,126078
685562,89102,126079
685563,89102,126080
685564,89102,126081
685565,89102,126082
685566,89103,125770
685567,89103,126083
685568,89103,126084
685569,89104,126085
685570,89104,126086
685571,89105,126087
685572,89105,126088
685573,89105,125340
685574,89106,126014
685575,89106,126089
685576,89106,126090
685577,89106,126091
685578,89106,126092
685579,89106,125362
685580,89106,125229
685581,89106,126060
685582,89106,125202
685583,89107,126093
685584,89107,125536
685585,89107,125093
685586,89107,125363
685587,89108,126094
685588,89108,126095
685589,89108,126096
685590,89108,126097
685591,89108,126098
685592,89109,125115
685593,89109,126099
685594,89109,126100
685595,89110,126101
685596,89110,126087
685597,89110,126102
685598,89110,125340
685599,89110,126103
685600,89110,125174
685601,89110,125987
